item_id	i_category	i_brand	r_complement	r_substitute
61	0	0	[]	[2377, 961, 2392, 77, 944, 1833, 1535, 123, 1569, 1489, 709, 2369, 1363, 153, 100, 1909, 202, 149, 141, 395, 706, 393, 368, 135, 56, 409, 956, 691, 2264, 280]
222	4	3	[650, 65, 597]	[972, 65, 597, 41, 650, 1928]
1896	1	8	[451, 1886, 1474, 2098, 1460, 759, 952, 1536, 1067, 1045, 736, 23, 789, 208, 2160, 1900, 720, 1912, 471, 572, 207, 435, 1078, 230, 1400, 388, 1137, 849, 204, 643, 2090, 1122, 1485, 1665, 1889, 1181, 2156, 298, 20, 1711, 973, 1382, 1615, 994, 335, 1289]	[]
661	18	76	[1339, 1045, 23, 1275, 1323]	[534, 1339, 807, 1275, 1561, 1323]
91	0	77	[1528, 2248, 416, 1139, 1102, 1847, 1614]	[]
1693	17	50	[927, 445, 655, 1886, 1844, 1342, 161, 1998, 1298, 1045, 23, 2198, 789, 1744, 208, 1331, 744, 1912, 550, 572, 207, 1400, 850, 204, 418, 1181, 20, 1532, 1711, 21, 2006, 973, 411, 994, 1289, 837]	[1844, 1744, 2343, 281, 2136, 2246, 1404, 1298]
123	6	2	[927, 759, 136, 1256, 23, 82, 575, 778, 233, 1205, 149, 141, 1021, 1054, 1127, 1224, 1919, 1002, 2017, 1181, 20, 299, 691, 1382, 95, 994, 280, 837]	[]
141	6	2	[927, 554, 151, 1057, 136, 2087, 1713, 1256, 123, 282, 82, 1892, 532, 1205, 149, 395, 1021, 1127, 1919, 1181, 473, 20, 1939, 691, 555, 95, 280]	[]
280	6	2	[927, 151, 304, 952, 1988, 2084, 187, 123, 282, 199, 1178, 177, 778, 401, 852, 702, 233, 230, 1205, 149, 1480, 1290, 395, 141, 589, 1021, 1054, 1919, 1181, 20, 299, 691, 853, 95, 411]	[]
286	8	41	[927, 445, 1886, 2078, 1498, 325, 1342, 161, 314, 1045, 736, 23, 486, 2175, 505, 744, 720, 1912, 1288, 401, 1131, 805, 230, 566, 1400, 829, 543, 513, 718, 1821, 1662, 2017, 418, 20, 21, 411, 994, 22, 175]	[506, 1388, 1131, 2381, 325, 829, 543, 556, 718, 1948]
534	18	78	[445, 451, 1460, 2087, 1342, 1045, 217, 505, 1944, 1323, 1339, 1912, 207, 471, 204, 660, 1181, 807, 1619, 973, 411]	[1339, 661, 807, 1323]
1803	22	26	[445, 451, 1886, 45, 952, 1639, 1342, 842, 1536, 161, 1998, 1609, 1045, 736, 23, 505, 839, 2124, 1192, 1900, 744, 769, 1339, 664, 572, 207, 230, 1400, 656, 1122, 1112, 660, 418, 2017, 1181, 298, 20, 1532, 1913, 1619, 973, 1382, 1615, 411, 1289, 994, 1332, 837]	[1886, 331, 1342, 1536, 2189, 1045, 1547, 248, 2191, 186, 664, 207, 694, 230, 388, 1855, 204, 656, 1112, 660, 986, 152]
164	2	3	[2151, 492, 788, 1881, 838, 558, 1427, 173, 549, 1448, 981, 605, 488, 737, 1020]	[173]
805	16	3	[1788, 1886, 2159, 2078, 176, 325, 1692, 2086, 476, 23, 652, 1505, 635, 1292, 507, 922, 720, 815, 1288, 733, 230, 566, 1400, 460, 496, 508, 204, 2017, 21, 1922, 1902, 2027, 22, 1289, 777]	[2159, 1888, 1562, 507, 777]
1387	16	3	[1886, 2159, 1474, 45, 1322, 1326, 802, 1342, 161, 1103, 1609, 23, 838, 698, 917, 572, 805, 230, 1400, 204, 488, 2187, 418, 2017, 1181, 20, 21, 2006, 973, 2399, 411, 22, 1389, 1289, 837]	[]
298	9	12	[451, 1886, 2159, 45, 176, 1342, 161, 1998, 1609, 1045, 736, 23, 208, 1331, 1666, 344, 1900, 1144, 744, 1912, 401, 572, 207, 694, 230, 1400, 388, 483, 513, 204, 1855, 643, 411, 1112, 1665, 1662, 2017, 1890, 418, 20, 1532, 1619, 21, 1711, 1902, 973, 1615, 1190, 434, 994, 22, 1289]	[1886, 331, 1639, 1342, 161, 1536, 1045, 736, 23, 486, 2160, 1144, 207, 694, 230, 1400, 1571, 388, 204, 418, 1070, 1532, 1619, 973, 1615, 994, 1289]
1228	3	11	[798, 1628, 1464, 266, 333, 1519, 211, 1491, 1753, 32]	[1734, 211, 2044, 1036, 1876, 432, 32, 327]
1549	8	44	[990, 1016, 1352, 635]	[2098, 2050, 89, 1588, 651, 780, 666, 2184, 33, 635, 2168, 2093, 2142, 1352, 1051, 675, 1215, 2053, 1426, 2032, 1320, 533, 1245, 1937]
505	22	56	[445, 451, 502, 1342, 1536, 1045, 736, 23, 248, 1924, 186, 1900, 1633, 1323, 1339, 664, 1912, 572, 207, 710, 230, 1400, 388, 204, 1855, 994, 1112, 660, 2017, 298, 1619, 986, 152, 973, 1615, 434, 411, 2083]	[1045, 736, 1112, 207, 230, 152, 502, 388, 204, 1342, 2191, 186]
675	8	44	[1886, 1389, 2159, 2078, 45, 335, 176, 89, 531, 1342, 842, 1536, 1045, 736, 23, 559, 635, 1016, 1292, 990, 208, 507, 1900, 744, 1912, 1352, 572, 207, 1291, 435, 1078, 1888, 1295, 230, 1400, 496, 204, 1855, 725, 2032, 298, 1937, 20, 1619, 1902, 1615, 434, 2027, 22, 636, 1289, 777]	[1272, 2098, 89, 1588, 651, 780, 666, 2145, 2184, 33, 2093, 1421, 1549, 2142, 1352, 2061, 620, 145, 2054, 2053, 2032, 1320, 533, 1937]
1753	3	11	[451, 1381, 1491, 1776, 1045, 333, 762, 798, 266, 230, 1734, 179, 2017, 1508, 211, 899, 1382, 1615, 994]	[1069, 1508, 333, 1050, 32]
697	8	44	[45, 176, 1342, 666, 1103, 1045, 33, 559, 635, 1016, 248, 1292, 990, 1319, 1291, 230, 145, 496, 675, 1389, 1289]	[2098, 2050, 89, 1588, 651, 780, 666, 2145, 2184, 33, 2168, 2093, 1549, 2142, 1352, 145, 2054, 675, 2053, 1215, 2032, 1320, 533, 1937]
688	19	79	[2195, 1886, 2294, 176, 1342, 161, 1536, 1609, 23, 1494, 838, 698, 208, 1898, 344, 1577, 2160, 744, 1000, 668, 868, 572, 230, 1400, 587, 643, 1453, 1662, 2017, 1181, 246, 20, 1532, 2006, 973, 1615, 411, 994, 1289]	[668, 1656, 285, 1360, 1722, 208, 1577, 1000, 1133]
2198	17	80	[1474, 2109, 896, 842, 1045, 23, 789, 505, 839, 1192, 744, 550, 984, 1640, 471, 572, 694, 435, 230, 204, 1112, 1843, 20, 1913, 21, 1693, 973, 1382, 1615, 411, 994, 1289]	[1640, 1460, 1744, 1079, 2136, 896, 2090, 1942]
303	22	56	[1886, 1910, 673, 1181, 705, 408, 398, 391, 1401, 1340, 1342, 1633]	[664, 408, 152, 391, 1342, 186, 1633]
47	26	81	[]	[1903, 1732, 116, 1263]
152	22	82	[445, 655, 451, 1886, 1844, 502, 1342, 161, 1536, 1998, 1045, 736, 23, 486, 1079, 505, 839, 744, 664, 207, 435, 1400, 391, 388, 1855, 411, 1112, 660, 1890, 418, 2017, 1181, 298, 986, 1619, 973, 1382, 1340, 1190, 1615, 994, 1289]	[1342, 2189, 1547, 505, 2191, 186, 1085, 1633, 664, 207, 1803, 694, 230, 388, 1855, 204, 1112, 660, 986]
325	8	43	[451, 2159, 2078, 45, 1107, 1856, 176, 1498, 686, 531, 1342, 161, 2086, 1067, 314, 2164, 1609, 692, 1045, 23, 652, 486, 1292, 1343, 1331, 507, 922, 720, 572, 1759, 1291, 230, 566, 496, 508, 204, 994, 1662, 2017, 418, 20, 1902, 434, 2027, 22, 1289]	[506, 1388, 23, 652, 1537, 1131, 286, 176, 1498, 1292, 507, 543, 1289, 22, 556, 720, 1540]
411	17	52	[451, 1886, 1474, 1138, 1342, 1609, 1045, 736, 23, 1731, 1912, 572, 694, 1888, 230, 1400, 1243, 204, 2090, 1843, 1665, 418, 2017, 681, 20, 1619, 1711, 973, 1382, 1615, 994, 1289, 1095]	[627, 1843, 572, 1712, 1138, 808, 973, 1280]
158	19	83	[1987, 1933, 1758, 1129, 1045, 23, 486, 1494, 619, 1879, 2310, 1666, 344, 796, 2070, 1400, 781, 483, 1552, 69, 249, 1023, 1946, 328, 2017, 1076, 1482, 1524, 973, 411, 1962]	[1367, 654, 328, 796, 747, 1494, 1929, 167, 1666, 729, 2202, 344, 1038, 781, 483, 69, 249, 1602]
712	19	0	[747, 45, 1905, 1987, 1933, 161, 977, 1461, 1129, 23, 1494, 698, 619, 208, 1192, 1348, 1660, 1413, 1891, 2070, 483, 1552, 69, 1946, 2017, 1070, 1181, 1076, 258, 2202, 1962, 1289, 837]	[796, 747, 1070, 1494, 158, 1666, 2202, 344, 1038, 483, 1933, 781, 69, 249, 1602]
249	19	84	[796, 2017, 1076, 1666, 69, 1144]	[1367, 747, 1987, 1494, 619, 158, 1666, 729, 344, 396, 796, 1038, 781, 483, 2110, 69, 1946, 328, 654, 1070, 1929, 167, 1076, 2202]
896	3	4	[451, 1844, 1460, 808, 1342, 1298, 1827, 1045, 23, 1935, 1744, 1899, 208, 1024, 744, 1912, 1640, 471, 572, 207, 837, 230, 1400, 388, 204, 2090, 1122, 1112, 660, 2017, 1619, 1711, 973, 1382, 1615, 1190, 411, 994, 1332, 777]	[457, 2198, 1460, 471, 1138, 2090]
1101	2	85	[1737, 788, 2078, 1163, 176, 1242, 2086, 23, 698, 1292, 408, 1000, 733, 496, 488, 1722, 2017, 2178, 558, 2006, 1902, 2027, 1344, 1389]	[551, 558, 705, 859, 793]
1817	8	46	[1158, 857, 2085, 494, 2164, 559, 1273, 760, 1157, 992, 1131, 183, 1257, 1283, 2139, 976, 452, 154, 335]	[760, 1157, 1283, 2139, 1273, 452, 154, 494]
976	8	39	[1319, 1158, 1320, 497, 183, 154, 2029, 1797, 1636]	[183, 1798, 1158, 1797]
1935	3	4	[451, 550, 23, 1381, 471, 1460, 435, 207, 2017, 1092, 1899, 1400, 973, 1615, 896, 1731, 204, 411]	[457, 471, 1899, 1731, 1827]
1334	10	86	[1957, 1717, 828, 54]	[]
1640	17	33	[445, 1497, 1342, 896, 2198, 1744, 505, 1331, 839, 744, 1942, 1912, 550, 207, 850, 643, 1122, 2017, 2136, 1619, 973, 1615, 1190, 411, 994, 1289]	[2198, 1744, 2136, 1693, 1942]
1015	4	87	[1376, 1664, 1030]	[1916, 1376, 1664]
452	8	46	[760, 1798, 1158, 857, 992, 2139, 1273, 976, 183, 154, 2085, 494, 1797, 1098]	[760, 1283, 2139, 1273, 154, 2085, 494]
799	16	3	[2159, 2078, 1856, 561, 176, 686, 531, 2086, 1125, 527, 1067, 2164, 1609, 577, 23, 559, 1505, 635, 1292, 507, 720, 815, 1288, 1759, 805, 1888, 566, 460, 496, 508, 1842, 557, 1902, 2027, 22, 777]	[1288, 2159, 777, 1759, 1842, 805, 1888, 507, 1562, 1692, 957, 508, 2027, 815]
813	19	83	[445, 595, 331, 1987, 1022, 1342, 1933, 161, 1758, 2204, 1129, 217, 486, 1494, 619, 158, 729, 1879, 1666, 2102, 344, 1413, 1571, 2110, 1552, 69, 249, 2017, 1076, 2202, 529, 1962]	[1367, 328, 796, 1494, 1929, 167, 1076, 158, 1666, 729, 2202, 344, 396, 781, 483, 69, 249]
425	8	88	[80, 743, 1131, 1568, 1594, 1375, 133, 1004, 1572]	[133, 1572]
845	8	25	[2262, 659, 2086, 2155, 2397, 527, 2115, 1103, 735, 2324, 1292, 1752, 974, 2081, 2351, 769, 2301, 1130, 1294, 496, 508, 2331, 479, 2221, 1628, 1579, 1186, 2319, 2296, 2025, 1014, 1389]	[2262, 2394, 735, 1628, 2086, 389, 1186, 479, 1130, 1752, 974, 2296, 2025, 2351, 2155, 2331, 769, 2268]
488	5	89	[1807, 629, 1101, 924, 698, 1087, 839, 815, 2169, 673, 674, 1400, 2067, 1329, 605, 2178, 558, 1216, 1027, 1922, 346, 777]	[1984, 1330, 1807, 1951, 629, 924, 321, 1202, 2169, 673, 674, 1831, 1721, 2067, 1329, 2247, 1115, 2178, 1216, 1027, 346]
1063	4	11	[59, 451, 2159, 1856, 176, 205, 1498, 1342, 1067, 314, 2164, 1609, 1045, 736, 1464, 23, 652, 486, 1292, 507, 693, 1268, 1589, 922, 982, 984, 207, 710, 230, 1400, 608, 508, 204, 2027, 20, 557, 109, 21, 434, 2083, 22]	[982, 59, 1464, 984, 232, 1823, 652, 176, 1498, 898, 109, 22, 693, 434, 2083, 1589, 314]
1659	3	90	[451, 2159, 33, 1411, 1487, 496, 1389, 488]	[]
1694	9	89	[2159, 659, 1107, 1772, 1342, 161, 1998, 2321, 1045, 23, 2324, 248, 2081, 1039, 769, 1912, 1888, 1400, 892, 1294, 1137, 204, 1628, 418, 2017, 2156, 1619, 973, 1828, 1615, 1190, 411, 994, 22, 1289]	[2324, 1294, 2295, 1137, 2081]
168	10	0	[]	[1957, 1871, 1781, 438, 1528, 828, 54, 2118, 822, 81, 843, 1334, 227]
82	6	6	[927, 1057, 101, 759, 136, 2087, 1256, 161, 448, 125, 1331, 642, 271, 317, 68, 572, 297, 1480, 1647, 643, 1127, 1662, 2017, 1181, 473, 727]	[]
79	27	6	[1662, 789, 1839, 2017, 1181, 1191, 926, 1230, 1382, 404, 1289, 204, 1813, 1717]	[]
94	11	0	[]	[289, 236, 1893, 2356, 2416, 1447, 1800, 1558, 1728, 82, 18, 90, 1647, 1013, 1738, 1321, 1031, 1181, 70, 2311, 1934, 1586, 2373, 960]
83	5	0	[474]	[]
891	8	9	[1563, 1777, 1158, 1537, 176, 1498, 1411, 325, 531, 1342, 314, 2164, 692, 23, 559, 652, 635, 1273, 1016, 1292, 645, 507, 1268, 1217, 720, 1157, 1291, 230, 1437, 508, 2017, 109, 2095, 2027, 22, 1289]	[760, 692, 1157, 652, 1765, 1283, 1273, 1437, 2095, 1268, 1217, 720]
257	8	9	[1126, 725, 717, 1406, 103, 2042, 1990, 1151, 106, 1762, 2094, 1623, 1736]	[717, 1406, 725, 103, 1990, 1151, 106, 104, 1762, 2094, 36, 1736]
652	8	9	[2159, 1158, 2078, 1856, 561, 176, 205, 1498, 325, 531, 2086, 527, 1067, 314, 2164, 476, 1464, 23, 559, 635, 486, 1016, 1292, 507, 1268, 922, 720, 1540, 1759, 805, 1888, 1295, 566, 496, 508, 1296, 1063, 109, 21, 2027, 22, 1289]	[2159, 176, 1498, 531, 314, 2164, 692, 1292, 1343, 507, 1268, 1217, 720, 760, 566, 508, 1765, 1283, 891, 2095, 2027, 22, 1289]
36	8	54	[1464, 1100, 788, 1406, 1320, 1823, 1908, 1498, 1411, 1990, 1151, 1620, 1613, 732, 314]	[717, 1908, 1411, 1151, 1231]
107	11	0	[1627, 239, 291]	[]
70	0	0	[]	[289, 101, 1805, 1447, 1748, 1558, 1967, 82, 271, 279, 1949, 1193, 1013, 1738, 1614, 364, 1321, 1181, 960]
404	6	6	[2137, 841, 136, 2087, 1609, 23, 1527, 980, 1534, 208, 839, 82, 79, 157, 572, 549, 1571, 1647, 1021, 1127, 172, 2017, 1181, 2156, 1662, 20, 1191, 727, 529, 994, 1289]	[]
72	10	91	[1519]	[]
245	6	92	[2137, 22, 23, 1711]	[]
101	27	6	[927, 678, 2100, 1127, 1321, 2140, 1181, 20, 2087, 82, 271, 411, 1647, 1032, 600, 1669, 79]	[]
1585	8	93	[1126, 1719, 1624, 1151, 1445, 2077, 1623, 1392, 1141]	[1930, 1126, 2072, 1719, 1624, 2042, 1151, 2039, 1445, 2077, 1623, 1392, 1141]
1754	8	0	[1319, 1320, 976, 403, 732, 260, 1797, 2029, 1488]	[1797, 183]
1004	8	41	[1749, 743, 1635, 2017, 109, 208, 557, 1532, 1594, 1335, 434, 718]	[1749, 743, 1594, 512, 718]
609	8	41	[879, 992, 806, 724, 891, 1257, 1411, 1065, 1845, 111, 1231, 118, 791, 1259, 120]	[879, 992, 1257, 1065, 111]
477	8	41	[1563, 2159, 2078, 1107, 1856, 561, 176, 1498, 686, 2086, 1067, 314, 2164, 1464, 23, 652, 1292, 1343, 507, 1594, 1268, 922, 720, 760, 1759, 566, 496, 508, 743, 1598, 1063, 557, 986, 109, 1902, 434, 2027, 22]	[1930, 657, 176, 1498, 325, 314, 2164, 652, 1151, 1594, 507, 512, 1268, 1231, 1540, 1819, 743, 775, 557, 791, 22]
1789	19	94	[451, 1778, 1163, 2068, 325, 1342, 161, 1536, 1998, 1133, 1609, 1045, 736, 23, 980, 486, 208, 1666, 184, 1577, 1192, 1912, 572, 207, 694, 805, 230, 1400, 1571, 1890, 2017, 487, 557, 411, 994, 1289]	[1737, 1576, 1778, 980, 486, 2017, 246, 208, 196, 587, 800, 1577, 1133]
533	8	56	[1886, 176, 531, 1342, 2086, 2155, 1536, 1998, 1103, 33, 559, 635, 23, 1016, 248, 1292, 990, 572, 230, 892, 496, 675, 204, 1112, 1902, 973, 1615, 2027, 1389, 1289]	[1272, 2098, 89, 1588, 651, 780, 666, 2145, 2184, 33, 2093, 1421, 1549, 2142, 1352, 1051, 2061, 620, 145, 2054, 675, 1215, 2053, 2032, 1937]
559	8	39	[2159, 2078, 1856, 176, 686, 2155, 2086, 23, 652, 635, 1016, 1292, 990, 507, 922, 1759, 1295, 460, 496, 2187, 20, 21, 1902, 22, 1389, 1289]	[2187, 885, 2078, 635, 1016, 1759, 176, 1292, 990, 21, 507, 531, 460, 1902, 496, 2086, 2027]
723	20	95	[1485]	[]
90	11	0	[18, 332, 136, 790, 1969]	[]
74	11	0	[124, 51]	[]
486	9	12	[2078, 1163, 1856, 176, 1498, 985, 952, 531, 1342, 161, 2086, 1067, 1045, 23, 980, 1292, 1666, 507, 922, 572, 207, 694, 230, 1400, 496, 508, 204, 1890, 2017, 1789, 1063, 557, 21, 1902, 2027, 22, 1289]	[1163, 176, 1639, 1342, 161, 2086, 1536, 1067, 1045, 23, 1292, 1666, 1879, 943, 507, 2160, 1144, 922, 427, 1400, 230, 1571, 496, 204, 2017, 298, 487, 1532, 1971, 2027, 22, 1289]
1323	18	96	[445, 451, 1886, 176, 1342, 161, 1536, 1998, 534, 1045, 736, 23, 1899, 208, 505, 744, 1339, 550, 572, 207, 435, 230, 661, 1400, 850, 513, 204, 411, 418, 2017, 807, 20, 1619, 21, 1532, 973, 1382, 1615, 1190, 434, 994, 1289]	[534, 1339, 207, 807, 661, 505]
1969	6	97	[927, 1886, 2100, 2259, 1447, 1573, 2017, 1654, 1662, 1181, 90, 136, 1400, 1331, 973, 1893, 170, 994]	[]
132	11	98	[]	[320, 2100, 289, 312, 332, 2371, 236, 2206, 1723, 1728, 790, 2356, 1586, 2373, 1013, 960]
169	7	0	[972, 977, 217]	[972, 1869, 217, 1643, 270, 1779, 529, 244, 1003, 1022, 454, 1300, 1644, 1726, 108, 1813, 977, 1646]
835	19	83	[285, 915, 1905, 1987, 1933, 1461, 1045, 23, 1494, 619, 158, 1666, 2102, 344, 2070, 230, 781, 483, 1552, 1794, 69, 1076, 2202, 1962, 1602]	[1367, 1946, 328, 796, 747, 1494, 1929, 1076, 158, 1666, 729, 2202, 344, 483, 1933, 69, 2154]
88	11	0	[]	[]
76	13	0	[]	[55, 817, 699, 1956, 2013, 365, 560, 880, 926, 1954, 387, 1123, 613, 203]
373	22	99	[927, 445, 451, 45, 1460, 811, 1342, 842, 161, 1998, 1045, 23, 1597, 1924, 505, 1544, 186, 170, 744, 550, 207, 1400, 513, 1122, 1890, 1662, 418, 1181, 298, 20, 1532, 1619, 973, 1382, 1615, 411, 994, 22, 1289, 837]	[1342, 1547, 1597, 1924, 505, 1544, 2191, 186, 1633, 1921, 664, 230, 388, 608, 1600, 1855, 501, 1112, 1890, 986, 152]
115	7	5	[]	[972, 1869, 217, 1003, 454, 244, 977, 1646]
166	6	2	[216, 151, 123, 683, 177, 184, 575, 778, 424, 852, 233, 630, 141, 1021, 1054, 1224, 1919, 172, 1002, 745, 853, 95, 280, 1020]	[]
151	6	2	[778, 1054, 1737, 172, 216, 1002, 455, 353, 1191, 853, 166, 184, 177, 95, 287, 280, 141, 1021]	[]
67	0	100	[]	[]
1143	3	11	[901, 1104, 1149]	[290, 1583, 1104, 266, 322, 704, 899, 758, 821, 1149, 146, 1099, 901, 1109]
1149	3	11	[2100, 266, 248, 1753, 901, 1143]	[266, 5, 350, 2024, 821, 762, 901, 741, 1167, 1143]
237	6	8	[223, 2009, 381, 1311, 539, 142, 2017, 242, 117, 1832, 2002, 184, 382, 910, 225, 1791, 737]	[]
140	6	8	[1176, 2064, 147, 1177, 2052, 1391, 2135, 973, 283, 66, 12, 385, 1458, 917]	[]
223	6	8	[1311, 381, 486, 698, 237, 117, 382, 1480, 225, 737]	[]
288	1	101	[1983, 760, 1254, 1587, 25, 1333, 1981, 22, 484]	[]
187	2	2	[746, 772, 2222, 1555, 1988, 1995, 523, 184, 12, 424, 1909, 549, 1225, 571, 589, 1054, 1224, 745, 1002, 2017, 667, 219, 1191, 2162, 1970, 1849, 1020, 280, 349]	[139, 772, 1988, 12, 465]
77	11	2	[]	[306, 2222, 1578, 99, 1037, 523, 185, 564, 809, 2369, 1909, 2404, 347, 2398, 1834, 219, 135, 541, 2162, 876, 1605, 959]
1210	5	4	[]	[1330, 1603, 1009, 1991, 1643, 348, 1162, 1090, 2169, 673, 674, 1721, 1040, 2067, 2167, 488, 1599, 1012, 1216, 346]
75	13	0	[]	[55, 1629, 215, 239, 817, 1267, 560, 203, 337, 129, 613, 156, 2013, 1956, 568, 880, 926, 1954, 1989, 387, 394]
1308	12	102	[]	[]
195	3	103	[1120, 211, 1451, 965]	[]
1620	8	48	[731, 1319, 637, 1320, 1945, 1856, 497, 2088, 1151, 732, 260, 1797, 2029, 1488]	[731, 1319, 637, 1856, 497, 1320, 1945, 2088, 732, 260]
1264	3	38	[451, 1886, 1474, 45, 176, 325, 1342, 161, 1536, 1998, 1609, 1045, 736, 23, 980, 486, 208, 1331, 1845, 255, 744, 572, 28, 207, 230, 1400, 388, 968, 513, 204, 643, 286, 1662, 2017, 418, 20, 1619, 21, 973, 411, 994, 22, 1289]	[23, 418, 572, 1400, 1296, 973, 1845, 1342, 994, 968, 1289]
1660	4	3	[2001, 285, 915, 1936, 1905, 1401, 802, 1342, 1022, 1758, 2204, 1461, 1129, 23, 1494, 838, 698, 619, 833, 208, 1666, 2310, 839, 344, 917, 1348, 867, 157, 1891, 935, 253, 2110, 483, 1552, 1480, 1794, 69, 509, 328, 1656, 2017, 1181, 258, 1482, 2202, 529, 960, 837]	[1707, 2001, 1869, 802, 2204, 628, 838, 698, 832, 917, 1348, 1413, 837, 483, 1552, 1390, 626, 1483, 529, 2151]
529	4	3	[1460, 285, 915, 1936, 1905, 1727, 1022, 1758, 2204, 1129, 23, 486, 1494, 838, 698, 1739, 2310, 1666, 344, 255, 1484, 917, 1348, 1660, 293, 1413, 796, 157, 710, 1207, 482, 964, 2110, 483, 1038, 1552, 2000, 737, 589, 509, 1656, 2017, 1070, 1076, 1482, 2202, 1427, 1657, 1670, 1255, 837]	[1707, 2001, 915, 1727, 1022, 802, 2204, 628, 838, 698, 1739, 832, 1484, 917, 1348, 1660, 1413, 2110, 1552, 2000, 1390, 509, 626, 1483, 1255, 2151]
247	6	7	[927, 341, 23, 1662, 911, 1181, 539, 1881, 297, 2087, 184, 224, 404]	[]
117	6	8	[223, 381, 242, 237, 382, 225]	[]
71	11	0	[]	[1358, 1621, 237, 2218, 2045, 1791, 223, 1316, 1764, 910, 225, 250, 1909, 2092, 1696, 1372, 2058, 1433, 367, 2009, 242, 2227, 708, 933]
727	6	8	[927, 1886, 136, 2087, 1256, 161, 1998, 1791, 448, 1967, 208, 82, 359, 271, 255, 744, 668, 1660, 550, 68, 572, 297, 456, 149, 1647, 1142, 1453, 1127, 2017, 1181, 1532, 491, 994, 837]	[]
100	11	2	[216, 151, 287, 95]	[]
385	6	8	[2064, 1778, 147, 1177, 2052, 2135, 283, 622, 140]	[]
299	6	2	[927, 2377, 136, 1256, 123, 932, 683, 1892, 2369, 532, 68, 401, 297, 141, 1919, 2017, 1939, 691, 1849, 280]	[]
1368	14	104	[669, 1435, 971]	[]
1435	14	104	[971, 1584, 2155, 505, 1331, 1011, 1144, 798, 230, 1571, 669, 856, 1665, 418, 2017, 211, 1619, 1711, 434, 411, 1389]	[]
1612	9	53	[2078, 885, 561, 531, 2086, 577, 23, 559, 635, 1016, 1292, 507, 922, 490, 1759, 847, 460, 1902, 2027]	[635, 2078, 1759, 490, 1292, 507, 460, 1902, 496, 2086, 2027]
2321	15	21	[451, 659, 1045, 736, 2324, 23, 1666, 2081, 2351, 550, 1694, 471, 1294, 850, 1628, 2017, 1619, 973, 411, 1289]	[2286, 2324, 2133, 1828, 1137, 2081]
243	9	0	[]	[]
1515	9	105	[1411, 321, 1446, 1045, 1658, 23, 507, 1752, 769, 572, 674, 230, 845, 981, 488, 725, 103, 1711, 973, 2025, 1389]	[]
125	6	6	[927, 1057, 759, 136, 296, 2087, 1800, 1558, 1331, 82, 271, 744, 68, 572, 392, 297, 1826, 1480, 1181, 473, 727, 994, 960, 837]	[]
1374	2	10	[854, 1030, 994, 23]	[]
147	6	8	[927, 2064, 1177, 2017, 1181, 1696, 698, 2135, 1457, 407, 140, 283, 385, 149, 1239, 1458]	[]
2408	15	21	[735, 1628, 1579, 2155, 23, 1262, 849, 389, 1294, 2025, 2295, 1137, 1389, 769, 1103]	[659, 1262, 1897, 2285, 1294, 2351]
1190	9	24	[451, 1381, 1069, 1460, 952, 1342, 1536, 1998, 1653, 1827, 1045, 736, 23, 1899, 1731, 1900, 1039, 1901, 471, 207, 435, 230, 204, 2016, 2090, 1999, 1122, 1665, 418, 298, 1619, 21, 1615, 434, 411, 994, 22, 1289]	[1122, 451, 1045, 1460, 1069, 1899, 1619, 1332, 1615, 1900, 1653, 1039, 1827, 2090, 2016]
535	8	3	[2159, 45, 176, 325, 1342, 161, 527, 314, 1609, 1045, 736, 23, 559, 652, 635, 1016, 1292, 990, 208, 1331, 507, 1898, 744, 1912, 572, 207, 1400, 892, 496, 850, 204, 994, 1662, 2017, 418, 20, 1063, 1619, 21, 1532, 973, 1615, 434, 411, 2027, 22, 1389, 1289]	[559, 1100, 710, 176, 20, 645, 990, 546, 109, 21, 496, 1289, 22, 527, 314, 1992]
597	4	3	[698, 650, 222]	[650, 1928, 65, 222]
135	11	2	[1904, 123, 691, 141, 149, 1865]	[]
1076	19	83	[1367, 595, 747, 2121, 1936, 1987, 1727, 1022, 1933, 23, 2340, 619, 1666, 2102, 344, 1413, 796, 2070, 2110, 1552, 1794, 1590, 2348, 1657]	[619, 1666, 2102, 2348, 344, 1987, 1933, 1962, 1384]
1081	21	29	[1299, 445, 2195, 2294, 1342, 2147, 23, 619, 2102, 1666, 344, 550, 572, 1006, 850, 1843, 2017, 298, 2290, 973, 411, 1962, 994, 837]	[1299, 2195, 550, 2281, 2340, 1006, 2294, 2290, 2348, 1208, 2279, 1226]
400	19	79	[777, 1737, 1567, 551, 2068, 1163, 1101, 23, 698, 838, 208, 1073, 846, 2160, 1854, 1000, 1722, 647, 2017, 558, 1670, 837]	[647, 1737, 1235, 2068, 934, 859, 558, 1073, 846, 1854, 1101, 1722]
651	8	56	[33, 559, 635, 23, 1016, 990, 505, 892, 2093, 780, 496, 1855, 1389, 1103]	[1272, 2098, 2050, 89, 1588, 780, 666, 2145, 2184, 33, 2168, 2093, 1421, 1549, 2142, 1352, 1051, 145, 2054, 2053, 1215, 675, 2032, 533, 1937]
131	26	0	[]	[]
732	8	48	[731, 1319, 637, 1320, 1945, 1856, 497, 1620, 260]	[731, 1319, 637, 1856, 497, 1320, 1945, 2088, 1620, 260]
